"filename", "language", "C++", "Objective-C", "comment", "blank", "total"
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouter+Private.h", "C++", 8, 0, 6, 8, 22
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterInterceptorCondition.h", "C++", 13, 0, 6, 10, 29
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterInterceptorCondition.m", "Objective-C", 0, 32, 10, 8, 50
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterItemModel.h", "C++", 15, 0, 6, 12, 33
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterItemModel.m", "Objective-C", 0, 17, 6, 11, 34
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterItemProtocol.h", "C++", 12, 0, 6, 9, 27
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterRequest.h", "C++", 9, 0, 9, 10, 28
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterRequest.m", "Objective-C", 0, 25, 8, 14, 47
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterResponse.h", "C++", 9, 0, 6, 9, 24
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterResponse.m", "Objective-C", 0, 3, 6, 4, 13
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterServer.h", "C++", 11, 0, 6, 9, 26
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterServer.m", "Objective-C", 0, 25, 52, 8, 85
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterUtils.h", "C++", 11, 0, 10, 10, 31
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/MYRouterUtils.m", "Objective-C", 0, 119, 35, 13, 167
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/public/MYRouter.h", "C++", 37, 0, 53, 35, 125
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/public/MYRouter.m", "Objective-C", 0, 218, 13, 46, 277
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/public/MYRouterAction.h", "C++", 8, 0, 7, 8, 23
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/public/MYRouterAction.m", "Objective-C", 0, 21, 7, 9, 37
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/public/MYRouterInterceptor.h", "C++", 24, 0, 7, 16, 47
"/Users/apple/Developer/iOS/tmp/aTmp/MYRouter/MYRouter/Classes/public/MYRouterInterceptor.m", "Objective-C", 0, 49, 6, 13, 68
"Total", "-", 157, 509, 265, 262, 1193